"Conjunto","Alfa","Acesso-Medio"
12,98,1.43571
13,2,1
13,4,1.025
13,6,1.01667
13,8,1.025
13,10,1.02
13,12,1.025
13,14,1.02857
13,16,1.03125
13,18,1.03889
13,20,1.05
13,22,1.06818
13,24,1.075
13,26,1.07308
13,28,1.08571
13,30,1.08667
13,32,1.09687
13,34,1.10294
13,36,1.11111
13,38,1.11842
13,40,1.135
13,42,1.1381
13,44,1.15
13,46,1.16087
13,48,1.16458
13,50,1.172
13,52,1.18269
13,54,1.2
13,56,1.20179
13,58,1.21724
13,60,1.24333
13,62,1.25484
13,64,1.26406
13,66,1.27727
13,68,1.28235
13,70,1.28857
13,72,1.3
13,74,1.30811
13,76,1.32105
13,78,1.33077
13,80,1.3375
13,82,1.34146
13,84,1.35238
13,86,1.3686
13,88,1.38068
13,90,1.39
13,92,1.39783
13,94,1.4117
13,96,1.425
13,98,1.43163
14,2,1
14,4,1
14,6,1.03333
14,8,1.0375
14,10,1.04
14,12,1.05833
14,14,1.05
14,16,1.05
14,18,1.05
14,20,1.07
14,22,1.08182
14,24,1.07917
14,26,1.07692
14,28,1.09643
14,30,1.11333
14,32,1.12812
14,34,1.13529
14,36,1.13889
14,38,1.15
14,40,1.1675
14,42,1.17857
14,44,1.17727
14,46,1.17826
14,48,1.19792
14,50,1.206
14,52,1.22692
14,54,1.23519
14,56,1.24464
14,58,1.25517
14,60,1.25333
14,62,1.25806
14,64,1.2625
14,66,1.26818
14,68,1.27647
14,70,1.28857
14,72,1.31111
14,74,1.32027
14,76,1.33289
14,78,1.34231
14,80,1.34875
14,82,1.35488
14,84,1.36786
14,86,1.37791
14,88,1.3875
14,90,1.39444
14,92,1.40761
14,94,1.41489
14,96,1.42604
14,98,1.42653
15,2,1
15,4,1.05
15,6,1.03333
15,8,1.025
15,10,1.03
15,12,1.04167
15,14,1.05
15,16,1.0625
15,18,1.07778
15,20,1.08
15,22,1.09091
15,24,1.1
15,26,1.10769
15,28,1.11429
15,30,1.12
15,32,1.13437
15,34,1.15
15,36,1.16111
15,38,1.16316
15,40,1.185
15,42,1.20476
15,44,1.22273
15,46,1.22826
15,48,1.24583
15,50,1.25
15,52,1.26154
15,54,1.26481
15,56,1.275
15,58,1.27414
15,60,1.28333
15,62,1.29839
15,64,1.29688
15,66,1.29545
15,68,1.30882
15,70,1.31714
15,72,1.33056
15,74,1.33919
15,76,1.35263
15,78,1.35897
15,80,1.37
15,82,1.37561
15,84,1.38095
15,86,1.39186
15,88,1.4125
15,90,1.41333
15,92,1.42174
15,94,1.42766
15,96,1.43854
15,98,1.44286
16,2,1
16,4,1.025
16,6,1.01667
16,8,1.025
16,10,1.04
16,12,1.05833
16,14,1.06429
16,16,1.0625
16,18,1.08333
16,20,1.095
16,22,1.09545
16,24,1.1125
16,26,1.11923
16,28,1.12857
16,30,1.13333
16,32,1.1375
16,34,1.14118
16,36,1.15278
16,38,1.16053
16,40,1.1625
16,42,1.17143
16,44,1.18409
16,46,1.19565
16,48,1.19583
16,50,1.208
16,52,1.22692
16,54,1.24074
16,56,1.24821
16,58,1.26034
16,60,1.265
16,62,1.27903
16,64,1.29062
16,66,1.29394
16,68,1.29853
16,70,1.30857
16,72,1.31528
16,74,1.31757
16,76,1.32763
16,78,1.33974
16,80,1.35
16,82,1.35976
16,84,1.36548
16,86,1.37791
16,88,1.39318
16,90,1.39889
16,92,1.40217
16,94,1.40851
16,96,1.42396
16,98,1.42857
17,2,1
17,4,1
17,6,1.01667
17,8,1.0375
17,10,1.03
17,12,1.05
17,14,1.05
17,16,1.05
17,18,1.06111
17,20,1.065
17,22,1.07727
17,24,1.0875
17,26,1.09615
17,28,1.10714
17,30,1.12
17,32,1.12188
17,34,1.11765
17,36,1.12778
17,38,1.13947
17,40,1.14
17,42,1.14762
17,44,1.15909
17,46,1.17826
17,48,1.19167
17,50,1.202
17,52,1.23077
17,54,1.24259
17,56,1.25
17,58,1.27241
17,60,1.27833
17,62,1.29516
17,64,1.3
17,66,1.30606
17,68,1.31765
17,70,1.32571
17,72,1.32778
17,74,1.34189
17,76,1.35789
17,78,1.36667
17,80,1.375
17,82,1.38049
17,84,1.39405
17,86,1.40465
17,88,1.41818
17,90,1.42667
17,92,1.43152
17,94,1.44468
17,96,1.45417
17,98,1.46429
18,2,1
18,4,1.025
18,6,1.01667
18,8,1.0375
18,10,1.06
18,12,1.09167
18,14,1.08571
18,16,1.0875
18,18,1.09444
18,20,1.1
18,22,1.12727
18,24,1.12917
18,26,1.13077
18,28,1.14643
18,30,1.14667
18,32,1.15
18,34,1.17353
18,36,1.18611
18,38,1.19211
18,40,1.1925
18,42,1.20476
18,44,1.21136
18,46,1.2087
18,48,1.21875
18,50,1.22
18,52,1.24038
18,54,1.25556
18,56,1.2625
18,58,1.26897
18,60,1.27833
18,62,1.28387
18,64,1.29062
18,66,1.30758
18,68,1.31029
18,70,1.31143
18,72,1.325
18,74,1.33649
18,76,1.34605
18,78,1.36026
18,80,1.36625
18,82,1.37195
18,84,1.38333
18,86,1.38837
18,88,1.39432
18,90,1.40333
18,92,1.40435
18,94,1.41489
18,96,1.425
18,98,1.42959
19,2,1
19,4,1
19,6,1.01667
19,8,1.0625
19,10,1.06
19,12,1.08333
19,14,1.09286
19,16,1.0875
19,18,1.08889
19,20,1.1
19,22,1.10909
19,24,1.10833
19,26,1.10385
19,28,1.11071
19,30,1.11333
19,32,1.12812
19,34,1.12941
19,36,1.14444
19,38,1.16053
19,40,1.1625
19,42,1.16905
19,44,1.18864
19,46,1.19565
19,48,1.21667
19,50,1.216
19,52,1.23462
19,54,1.24815
19,56,1.25714
19,58,1.26207
19,60,1.27667
19,62,1.28065
19,64,1.27656
19,66,1.28939
19,68,1.29559
19,70,1.30143
19,72,1.30694
19,74,1.31622
19,76,1.32763
19,78,1.33205
19,80,1.34125
19,82,1.34634
19,84,1.35595
19,86,1.35814
19,88,1.37045
19,90,1.37444
19,92,1.39348
19,94,1.40638
19,96,1.41146
19,98,1.42143
20,2,1
20,4,1.025
20,6,1.01667
20,8,1.0375
20,10,1.05
20,12,1.05833
20,14,1.07143
20,16,1.06875
20,18,1.07222
20,20,1.08
20,22,1.09545
20,24,1.10417
20,26,1.12308
20,28,1.13929
20,30,1.13667
20,32,1.15
20,34,1.15588
20,36,1.15278
20,38,1.16842
20,40,1.18
20,42,1.18333
20,44,1.20455
20,46,1.21739
20,48,1.23958
20,50,1.26
20,52,1.26154
20,54,1.26481
20,56,1.275
20,58,1.27241
20,60,1.28833
20,62,1.29839
20,64,1.30781
20,66,1.31061
20,68,1.31471
20,70,1.32714
20,72,1.34861
20,74,1.35811
20,76,1.36711
20,78,1.37308
20,80,1.38375
20,82,1.39512
20,84,1.40357
20,86,1.41395
20,88,1.42159
20,90,1.42556
20,92,1.43913
20,94,1.44255
20,96,1.44687
20,98,1.4551
21,2,1
21,4,1
21,6,1
21,8,1.025
21,10,1.03
21,12,1.04167
21,14,1.06429
21,16,1.075
21,18,1.07222
21,20,1.085
21,22,1.09091
21,24,1.09583
21,26,1.09615
21,28,1.1
21,30,1.1
21,32,1.12812
21,34,1.14706
21,36,1.15556
21,38,1.15
21,40,1.1525
21,42,1.15238
21,44,1.15909
21,46,1.16739
21,48,1.17083
21,50,1.184
21,52,1.20192
21,54,1.23333
21,56,1.2375
21,58,1.25172
21,60,1.25667
21,62,1.27097
21,64,1.27969
21,66,1.28939
21,68,1.3
21,70,1.30286
21,72,1.31528
21,74,1.32027
21,76,1.32632
21,78,1.33462
21,80,1.33375
21,82,1.34756
21,84,1.36429
21,86,1.36977
21,88,1.37727
21,90,1.39667
21,92,1.40543
21,94,1.41277
21,96,1.42396
21,98,1.42857
22,2,1
22,4,1
22,6,1.01667
22,8,1.0125
22,10,1.02
22,12,1.03333
22,14,1.04286
22,16,1.04375
22,18,1.05556
22,20,1.055
22,22,1.06818
22,24,1.09167
22,26,1.1
22,28,1.1
22,30,1.1
22,32,1.1125
22,34,1.11765
22,36,1.11944
22,38,1.13684
22,40,1.145
22,42,1.15714
22,44,1.16591
22,46,1.16957
22,48,1.17708
22,50,1.188
22,52,1.20385
22,54,1.21852
22,56,1.225
22,58,1.22759
22,60,1.22833
22,62,1.23226
22,64,1.23906
22,66,1.25606
22,68,1.26471
22,70,1.27286
22,72,1.28194
22,74,1.3
22,76,1.31184
22,78,1.32179
22,80,1.325
22,82,1.33171
22,84,1.33929
22,86,1.34535
22,88,1.35341
22,90,1.36
22,92,1.38043
22,94,1.39149
22,96,1.40208
22,98,1.41122
23,2,1
23,4,1.025
23,6,1.01667
23,8,1.0375
23,10,1.04
23,12,1.04167
23,14,1.05
23,16,1.04375
23,18,1.05
23,20,1.075
23,22,1.09545
23,24,1.1
23,26,1.10769
23,28,1.12143
23,30,1.12333
23,32,1.13437
23,34,1.13824
23,36,1.15278
23,38,1.16053
23,40,1.175
23,42,1.17857
23,44,1.20227
23,46,1.20652
23,48,1.21458
23,50,1.228
23,52,1.23269
23,54,1.24259
23,56,1.24821
23,58,1.25862
23,60,1.26833
23,62,1.27742
23,64,1.27813
23,66,1.29091
23,68,1.3
23,70,1.30571
23,72,1.31528
23,74,1.32432
23,76,1.33947
23,78,1.34487
23,80,1.35875
23,82,1.36463
23,84,1.36905
23,86,1.37326
23,88,1.38295
23,90,1.39
23,92,1.3913
23,94,1.39468
23,96,1.40208
23,98,1.41633
24,2,1
24,4,1.025
24,6,1.01667
24,8,1.025
24,10,1.04
24,12,1.04167
24,14,1.05
24,16,1.05
24,18,1.04444
24,20,1.055
24,22,1.07273
24,24,1.075
24,26,1.08462
24,28,1.11071
24,30,1.12
24,32,1.12188
24,34,1.12647
24,36,1.13611
24,38,1.14737
24,40,1.1525
24,42,1.16905
24,44,1.17955
24,46,1.18261
24,48,1.19167
24,50,1.202
24,52,1.21154
24,54,1.22222
24,56,1.23393
24,58,1.23966
24,60,1.26167
24,62,1.26774
24,64,1.27656
24,66,1.28333
24,68,1.28529
24,70,1.29286
24,72,1.30556
24,74,1.31486
24,76,1.32763
24,78,1.3359
24,80,1.34375
24,82,1.3561
24,84,1.3631
24,86,1.37093
24,88,1.37727
24,90,1.38333
24,92,1.39022
24,94,1.39681
24,96,1.40208
24,98,1.41122
25,2,1
25,4,1
25,6,1.03333
25,8,1.0625
25,10,1.06
25,12,1.075
25,14,1.08571
25,16,1.10625
25,18,1.1
25,20,1.115
25,22,1.14091
25,24,1.14167
25,26,1.15385
25,28,1.15357
25,30,1.16
25,32,1.1625
25,34,1.16471
25,36,1.17222
25,38,1.17105
25,40,1.19
25,42,1.1881
25,44,1.18636
25,46,1.18913
25,48,1.19375
25,50,1.202
25,52,1.20962
25,54,1.21481
25,56,1.22143
25,58,1.22586
25,60,1.22833
25,62,1.23387
25,64,1.23906
25,66,1.25303
25,68,1.26471
25,70,1.27429
25,72,1.29722
25,74,1.30541
25,76,1.31316
25,78,1.32436
25,80,1.33125
25,82,1.33659
25,84,1.35119
25,86,1.36047
25,88,1.36705
25,90,1.37556
25,92,1.3837
25,94,1.39468
25,96,1.40208
25,98,1.40612
26,2,1
26,4,1
26,6,1
26,8,1.025
